perl-error 0.17027-1
perl-mailtools 2.21-1
perl-timedate 2.30-5
pinentry 1.1.0-4
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.1-1
polkit 0.116-1
polybar 3.3.0-1
poppler 0.76.1-1
popt 1.16-10
postgresql-libs 11.3-1
potrace 1.15-1
procps-ng 3.3.15-1
psmisc 23.2-1
pygobject-devel 3.32.1-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.3-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-bcrypt 3.1.6-1
python-cached-property 1.5.1-2
python-cairo 1.18.1-1
python-cffi 1.12.3-1
python-chardet 3.0.4-2
python-cryptography 2.6.1-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-docker 4.0.1-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-4
python-docopt 0.6.2-5
python-gobject 3.32.1-1
python-idna 2.8-1
python-jsonschema 2.6.0-3
python-packaging 19.0-1
python-paramiko 2.4.2-1
python-ply 3.11-2
python-pyasn1 0.4.5-1
python-pycparser 2.19-1
python-pynacl 1.3.0-1
python-pyparsing 2.4.0-1
python-requests 2.22.0-1
python-setuptools 1:41.0.1-1
python-six 1.12.0-1
python-texttable 1.6.1-2
python-urllib3 1.25.2-1
python-websocket-client 0.56.0-1
python-yaml 3.13-2
python2 2.7.16-1
python2-cairo 1.18.1-1
python2-gobject2 2.28.7-2
qt5-base 5.12.3-2
ranger 1.9.2-1
re2 20190401-1
readline 8.0.0-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
ripgrep 11.0.1-1
rofi 1.5.2-1
rtmpdump 1:2.4.r96.fa8646d-4
run-parts 4.8.6.1-1
runc 1.0.0rc8-1
screenfetch 3.8.0-3
scrot 0.8.18-1
sdl2 2.0.9-1
sed 4.7-1
semver 6.1.0-1
shadow 4.6-3
shared-mime-info 1.12-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2rc3-4
spotify 1.0.98.78-1
sqlite 3.28.0-1
startup-notification 0.12-6
sudo 1.8.27-1
sysfsutils 2.1.0-10
systemd 242.29-1
systemd-libs 242.29-1
systemd-sysvcompat 242.29-1
t1lib 5.1.2-7
tar 1.32-1
tcl 8.6.9-2
tdb 1.3.18-2
termite 15-1
termite-terminfo 15-1
texinfo 6.6-1
texlive-bin 2018.48691-9
texlive-core 2018.50036-1
thin-provisioning-tools 0.8.1-1
tmux 2.9_a-2
tree 1.8.0-1
tslib 1.20-1
ttf-droid 20121017-6
ttf-fira-code 1.206-1
ttf-fira-mono 2:3.206-3
ttf-font-awesome 5.8.2-1
ttf-inconsolata 1:2.0.0.1-3
tzdata 2019a-1
unzip 6.0-13
usbutils 010-1
util-linux 2.33.2-1
v4l-utils 1.16.6-1
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.1186-1
vim-runtime 8.1.1186-1
vte-common 0.56.3-1
w3m 0.5.3.git20190105-1
wayland 1.17.0-1
wayland-protocols 1.17-1
webkit2gtk 2.24.2-1
wget 1.20.3-1
which 2.21-3
woff2 1.0.2-1
wpa_actiond 1.4-3
wpa_supplicant 2:2.8-1
x264 2:157.r72db4377-1
x265 3.0-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3-3
xf86-input-libinput 0.28.2-1
xf86-video-intel 1:2.99.917+863+g6afed33b-1
xfsprogs 4.20.0-2
xkeyboard-config 2.26-2
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.4-5
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.4-1
xorg-server-common 1.20.4-1
xorg-server-devel 1.20.4-1
xorg-server-xdmx 1.20.4-1
xorg-server-xephyr 1.20.4-1
xorg-server-xnest 1.20.4-1
xorg-server-xvfb 1.20.4-1
xorg-server-xwayland 1.20.4-1
xorg-sessreg 1.1.1-2
xorg-setxkbmap 1.3.1-2
xorg-smproxy 1.0.6-2
xorg-util-macros 1.19.2-1
xorg-x11perf 1.6.1-1
xorg-xauth 1.0.10-2
xorg-xbacklight 1.2.2-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xfd 1.1.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.2-2
xorg-xkbcomp 1.4.2-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.0-2
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.4-1
xorg-xwud 1.0.5-1
xorgproto 2018.4-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zstd 1.4.0-1
zziplib 0.13.69-1
